date,product,category,qty,price
2024-12-24,Aceite 1L,Despensa,3,15496.06
2024-12-24,Agua 600ml,Bebidas,7,2035.38
2024-12-24,Arroz 1kg,Despensa,4,4754.11
2024-12-24,Azucar 1kg,Despensa,5,4740.2
2024-12-24,Bebida Energetica 250ml,Bebidas,5,4566.56
2024-12-24,Cerveza Sixpack,Bebidas,2,15119.17
2024-12-24,Chitos 40g,Snacks,7,2731.08
2024-12-24,Chocolate 250g,Despensa,4,8567.3
2024-12-24,Detergente 500g,Aseo,1,6623.77
2024-12-24,Frijol 500g,Granos,3,5417.46
2024-12-24,Galletas Chocolate,Snacks,6,3529.63
2024-12-24,Gaseosa Cola 400ml,Bebidas,9,2821.17
2024-12-24,Gaseosa Manzana 400ml,Bebidas,12,2692.4
2024-12-24,Harina Trigo 1kg,Despensa,2,4304.78
2024-12-24,Huevos x30,Despensa,5,16406.72
2024-12-24,Jabon Barra,Aseo,4,3186.12
2024-12-24,Jugo Mango 300ml,Bebidas,9,3205.3
2024-12-24,Leche Entera 900ml,Lacteos,11,4089.08
2024-12-24,Lenteja 500g,Granos,2,4863.38
2024-12-24,Pan Blandito x5,Panaderia,9,3284.05
2024-12-24,Pan Tajado 500g,Panaderia,7,6069.23
2024-12-24,Papas 30g,Snacks,13,2721.25
2024-12-24,Papel Higienico x4,Aseo,2,8075.33
2024-12-24,Queso Campesino 250g,Lacteos,7,8145.0
2024-12-24,Sal 500g,Despensa,3,1902.72
2024-12-24,Yogurt Fresa 200ml,Lacteos,16,2429.95
2024-12-25,Aceite 1L,Despensa,3,15258.48
2024-12-25,Agua 600ml,Bebidas,16,2238.33
2024-12-25,Arroz 1kg,Despensa,4,4698.75
2024-12-25,Azucar 1kg,Despensa,2,4692.29
2024-12-25,Bebida Energetica 250ml,Bebidas,3,4521.39
2024-12-25,Cafe Molido 250g,Despensa,4,9205.32
2024-12-25,Cerveza Sixpack,Bebidas,2,14782.86
2024-12-25,Chitos 40g,Snacks,4,2686.91
2024-12-25,Chocolate 250g,Despensa,2,8098.21
2024-12-25,Detergente 500g,Aseo,4,6683.86
2024-12-25,Frijol 500g,Granos,2,5433.44
2024-12-25,Galletas Chocolate,Snacks,8,3728.84
2024-12-25,Gaseosa Cola 400ml,Bebidas,16,2864.59
2024-12-25,Gaseosa Manzana 400ml,Bebidas,13,2801.45
2024-12-25,Harina Trigo 1kg,Despensa,2,4049.42
2024-12-25,Huevos x30,Despensa,2,17051.96
2024-12-25,Jabon Barra,Aseo,5,3457.13
2024-12-25,Jugo Mango 300ml,Bebidas,15,2857.03
2024-12-25,Leche Entera 900ml,Lacteos,7,4221.2
2024-12-25,Lenteja 500g,Granos,5,4492.54
2024-12-25,Mani 50g,Snacks,3,2928.52
2024-12-25,Pan Blandito x5,Panaderia,7,2858.56
2024-12-25,Pan Tajado 500g,Panaderia,5,5715.9
2024-12-25,Papas 30g,Snacks,10,2576.95
2024-12-25,Papel Higienico x4,Aseo,1,9180.53
2024-12-25,Queso Campesino 250g,Lacteos,2,7971.65
2024-12-25,Yogurt Fresa 200ml,Lacteos,8,2512.89
2024-12-26,Aceite 1L,Despensa,5,16307.53
2024-12-26,Agua 600ml,Bebidas,6,2071.68
2024-12-26,Arroz 1kg,Despensa,5,4861.11
2024-12-26,Azucar 1kg,Despensa,5,4424.17
2024-12-26,Bebida Energetica 250ml,Bebidas,5,4624.89
2024-12-26,Cafe Molido 250g,Despensa,2,9306.77
2024-12-26,Cerveza Sixpack,Bebidas,1,14193.02
2024-12-26,Chitos 40g,Snacks,6,2870.68
2024-12-26,Chocolate 250g,Despensa,2,8490.2
2024-12-26,Detergente 500g,Aseo,2,6672.83
2024-12-26,Frijol 500g,Granos,2,5163.14
2024-12-26,Galletas Chocolate,Snacks,4,3520.27
2024-12-26,Gaseosa Cola 400ml,Bebidas,7,2949.88
2024-12-26,Gaseosa Manzana 400ml,Bebidas,12,2808.42
2024-12-26,Harina Trigo 1kg,Despensa,1,4050.32
2024-12-26,Huevos x30,Despensa,6,17150.7
2024-12-26,Jabon Barra,Aseo,3,3171.98
2024-12-26,Jugo Mango 300ml,Bebidas,6,3376.39
2024-12-26,Leche Entera 900ml,Lacteos,5,4545.48
2024-12-26,Lenteja 500g,Granos,2,4963.09
2024-12-26,Mani 50g,Snacks,2,3129.27
2024-12-26,Pan Blandito x5,Panaderia,6,3282.16
2024-12-26,Pan Tajado 500g,Panaderia,7,6026.74
2024-12-26,Papas 30g,Snacks,14,2476.34
2024-12-26,Queso Campesino 250g,Lacteos,5,7924.59
2024-12-26,Sal 500g,Despensa,4,1962.1
2024-12-26,Yogurt Fresa 200ml,Lacteos,8,2188.44
2024-12-27,Aceite 1L,Despensa,2,15526.73
2024-12-27,Agua 600ml,Bebidas,17,2128.73
2024-12-27,Arroz 1kg,Despensa,4,5034.82
2024-12-27,Azucar 1kg,Despensa,3,5015.65
2024-12-27,Bebida Energetica 250ml,Bebidas,10,3956.63
2024-12-27,Cafe Molido 250g,Despensa,1,9477.76
2024-12-27,Cerveza Sixpack,Bebidas,6,14965.31
2024-12-27,Chitos 40g,Snacks,1,2599.05
2024-12-27,Frijol 500g,Granos,6,5154.06
2024-12-27,Galletas Chocolate,Snacks,8,3568.89
2024-12-27,Gaseosa Cola 400ml,Bebidas,12,2976.23
2024-12-27,Gaseosa Manzana 400ml,Bebidas,15,2956.6
2024-12-27,Harina Trigo 1kg,Despensa,3,4099.29
2024-12-27,Huevos x30,Despensa,4,15914.55
2024-12-27,Jabon Barra,Aseo,1,3097.34
2024-12-27,Jugo Mango 300ml,Bebidas,8,3316.68
2024-12-27,Leche Entera 900ml,Lacteos,6,4232.08
2024-12-27,Lenteja 500g,Granos,3,4841.77
2024-12-27,Mani 50g,Snacks,3,3029.84
2024-12-27,Pan Blandito x5,Panaderia,5,3401.11
2024-12-27,Pan Tajado 500g,Panaderia,6,5936.79
2024-12-27,Papas 30g,Snacks,15,2388.99
2024-12-27,Queso Campesino 250g,Lacteos,3,7620.73
2024-12-27,Sal 500g,Despensa,4,1930.17
2024-12-27,Yogurt Fresa 200ml,Lacteos,9,2595.92
2024-12-28,Aceite 1L,Despensa,3,12507.51
2024-12-28,Agua 600ml,Bebidas,9,2067.66
2024-12-28,Arroz 1kg,Despensa,3,4956.53
2024-12-28,Azucar 1kg,Despensa,3,4635.45
2024-12-28,Bebida Energetica 250ml,Bebidas,7,4582.9
2024-12-28,Cafe Molido 250g,Despensa,1,9105.64
2024-12-28,Cerveza Sixpack,Bebidas,10,12806.24
2024-12-28,Chitos 40g,Snacks,4,2600.33
2024-12-28,Detergente 500g,Aseo,2,6698.81
2024-12-28,Frijol 500g,Granos,6,5626.22
2024-12-28,Galletas Chocolate,Snacks,11,3418.44
2024-12-28,Gaseosa Cola 400ml,Bebidas,17,2999.57
2024-12-28,Gaseosa Manzana 400ml,Bebidas,9,2959.29
2024-12-28,Harina Trigo 1kg,Despensa,2,4099.35
2024-12-28,Huevos x30,Despensa,1,16535.66
2024-12-28,Jabon Barra,Aseo,3,2829.45
2024-12-28,Jugo Mango 300ml,Bebidas,5,3287.68
2024-12-28,Leche Entera 900ml,Lacteos,10,4197.93
2024-12-28,Lenteja 500g,Granos,1,4796.12
2024-12-28,Mani 50g,Snacks,6,3022.64
2024-12-28,Pan Blandito x5,Panaderia,5,3209.78
2024-12-28,Pan Tajado 500g,Panaderia,5,5907.49
2024-12-28,Papas 30g,Snacks,18,2596.39
2024-12-28,Papel Higienico x4,Aseo,1,9527.0
2024-12-28,Queso Campesino 250g,Lacteos,3,7712.64
2024-12-28,Sal 500g,Despensa,2,1797.49
2024-12-28,Yogurt Fresa 200ml,Lacteos,9,2419.44
2024-12-29,Aceite 1L,Despensa,3,15968.49
2024-12-29,Agua 600ml,Bebidas,18,2090.44
2024-12-29,Arroz 1kg,Despensa,4,4516.9
2024-12-29,Azucar 1kg,Despensa,1,5282.49
2024-12-29,Bebida Energetica 250ml,Bebidas,4,4508.67
2024-12-29,Cafe Molido 250g,Despensa,2,8808.74
2024-12-29,Cerveza Sixpack,Bebidas,2,15013.78
2024-12-29,Chitos 40g,Snacks,7,2656.97
2024-12-29,Detergente 500g,Aseo,1,6527.5
2024-12-29,Frijol 500g,Granos,1,5609.62
2024-12-29,Galletas Chocolate,Snacks,7,3583.22
2024-12-29,Gaseosa Cola 400ml,Bebidas,16,2791.07
2024-12-29,Gaseosa Manzana 400ml,Bebidas,14,2678.52
2024-12-29,Harina Trigo 1kg,Despensa,4,4271.19
