date,product,category,qty,price
2025-09-01,Papas Margarita 30g,Snacks,5,2657.92
2025-09-01,Gaseosa Postobon Manzana 400ml,Bebidas,3,2679.81
2025-09-01,Frijol Cargamanto 500g,Granos,1,4841.22
2025-09-01,Aceite Premier 1L,Despensa,1,16128.89
2025-09-01,Huevos AA x30,Despensa,1,14291.45
2025-09-01,Queso Campesino 250g,Lacteos,2,6738.59
2025-09-01,Leche Entera Alpina 900ml,Lacteos,2,4001.5
2025-09-01,Cerveza Poker Sixpack,Bebidas,2,11662.32
2025-09-02,Papas Margarita 30g,Snacks,1,2477.05
2025-09-02,Gaseosa Colombiana 350ml,Bebidas,3,2843.61
2025-09-02,Gaseosa Postobon Manzana 400ml,Bebidas,3,2622.74
2025-09-02,Arroz Diana 1kg,Granos,1,4658.72
2025-09-02,Huevos AA x30,Despensa,1,13917.8
2025-09-02,Queso Campesino 250g,Lacteos,2,6653.63
2025-09-02,Leche Entera Alpina 900ml,Lacteos,2,4195.47
2025-09-02,Cerveza Poker Sixpack,Bebidas,2,12219.02
2025-09-03,Papas Margarita 30g,Snacks,4,2482.23
2025-09-03,Gaseosa Colombiana 350ml,Bebidas,4,2754.04
2025-09-03,Arroz Diana 1kg,Granos,4,4028.45
2025-09-03,Queso Campesino 250g,Lacteos,3,7023.56
2025-09-03,Leche Entera Alpina 900ml,Lacteos,3,4065.21
2025-09-03,Cerveza Poker Sixpack,Bebidas,3,11598.52
2025-09-04,Papas Margarita 30g,Snacks,7,2474.34
2025-09-04,Gaseosa Colombiana 350ml,Bebidas,3,2758.8
2025-09-04,Gaseosa Postobon Manzana 400ml,Bebidas,2,2564.36
2025-09-04,Arroz Diana 1kg,Granos,2,4355.59
2025-09-04,Frijol Cargamanto 500g,Granos,1,5196.14
2025-09-04,Aceite Premier 1L,Despensa,1,15395.49
2025-09-04,Queso Campesino 250g,Lacteos,2,6929.95
2025-09-04,Leche Entera Alpina 900ml,Lacteos,2,4057.52
2025-09-04,Cerveza Poker Sixpack,Bebidas,4,11421.54
2025-09-05,Papas Margarita 30g,Snacks,6,2638.4
2025-09-05,Gaseosa Colombiana 350ml,Bebidas,3,2626.33
2025-09-05,Gaseosa Postobon Manzana 400ml,Bebidas,3,2607.13
2025-09-05,Arroz Diana 1kg,Granos,2,4435.79
2025-09-05,Frijol Cargamanto 500g,Granos,4,5315.67
2025-09-05,Aceite Premier 1L,Despensa,1,16671.52
2025-09-05,Huevos AA x30,Despensa,6,13922.18
2025-09-05,Queso Campesino 250g,Lacteos,1,6861.55
2025-09-05,Leche Entera Alpina 900ml,Lacteos,1,4238.97
2025-09-05,Cerveza Poker Sixpack,Bebidas,1,11882.52
2025-09-06,Papas Margarita 30g,Snacks,9,2378.31
2025-09-06,Gaseosa Colombiana 350ml,Bebidas,3,2898.41
2025-09-06,Gaseosa Postobon Manzana 400ml,Bebidas,5,2575.08
2025-09-06,Arroz Diana 1kg,Granos,2,4307.24
2025-09-06,Frijol Cargamanto 500g,Granos,4,5300.35
2025-09-06,Aceite Premier 1L,Despensa,6,16205.3
2025-09-06,Huevos AA x30,Despensa,4,13962.46
2025-09-06,Queso Campesino 250g,Lacteos,3,7087.62
2025-09-06,Leche Entera Alpina 900ml,Lacteos,13,4108.42
2025-09-06,Cerveza Poker Sixpack,Bebidas,6,12892.52
2025-09-07,Papas Margarita 30g,Snacks,2,2313.27
2025-09-07,Gaseosa Postobon Manzana 400ml,Bebidas,2,2762.28
2025-09-07,Arroz Diana 1kg,Granos,1,4523.14
2025-09-07,Huevos AA x30,Despensa,3,13508.18
2025-09-07,Queso Campesino 250g,Lacteos,2,6920.24
2025-09-07,Leche Entera Alpina 900ml,Lacteos,2,3973.42
2025-09-07,Cerveza Poker Sixpack,Bebidas,1,12584.13
2025-09-08,Papas Margarita 30g,Snacks,4,2712.22
2025-09-08,Gaseosa Colombiana 350ml,Bebidas,2,2915.64
2025-09-08,Gaseosa Postobon Manzana 400ml,Bebidas,1,2575.31
2025-09-08,Frijol Cargamanto 500g,Granos,1,5589.38
2025-09-08,Huevos AA x30,Despensa,2,13262.38
2025-09-08,Queso Campesino 250g,Lacteos,4,6835.56
2025-09-08,Leche Entera Alpina 900ml,Lacteos,1,4066.8
2025-09-08,Cerveza Poker Sixpack,Bebidas,4,11828.74
2025-09-09,Papas Margarita 30g,Snacks,6,2451.36
2025-09-09,Gaseosa Colombiana 350ml,Bebidas,2,2823.25
2025-09-09,Gaseosa Postobon Manzana 400ml,Bebidas,2,2699.01
2025-09-09,Arroz Diana 1kg,Granos,3,4761.46
2025-09-09,Aceite Premier 1L,Despensa,4,16058.33
2025-09-09,Huevos AA x30,Despensa,5,14127.45
2025-09-09,Queso Campesino 250g,Lacteos,5,6726.28
2025-09-09,Leche Entera Alpina 900ml,Lacteos,6,3999.45
2025-09-09,Cerveza Poker Sixpack,Bebidas,4,11470.0
2025-09-10,Papas Margarita 30g,Snacks,4,2499.12
2025-09-10,Gaseosa Colombiana 350ml,Bebidas,2,2751.47
2025-09-10,Gaseosa Postobon Manzana 400ml,Bebidas,2,2621.2
2025-09-10,Frijol Cargamanto 500g,Granos,2,5050.56
2025-09-10,Aceite Premier 1L,Despensa,2,16359.12
2025-09-10,Huevos AA x30,Despensa,1,13336.74
2025-09-10,Queso Campesino 250g,Lacteos,1,6798.76
2025-09-10,Leche Entera Alpina 900ml,Lacteos,1,4308.47
2025-09-10,Cerveza Poker Sixpack,Bebidas,3,12163.85
2025-09-11,Papas Margarita 30g,Snacks,3,2506.97
2025-09-11,Gaseosa Colombiana 350ml,Bebidas,2,2910.15
2025-09-11,Gaseosa Postobon Manzana 400ml,Bebidas,4,2724.84
2025-09-11,Arroz Diana 1kg,Granos,1,4826.9
2025-09-11,Frijol Cargamanto 500g,Granos,2,5655.48
2025-09-11,Aceite Premier 1L,Despensa,1,15966.52
2025-09-11,Huevos AA x30,Despensa,2,12467.14
2025-09-11,Queso Campesino 250g,Lacteos,2,6898.59
2025-09-11,Leche Entera Alpina 900ml,Lacteos,8,4087.93
2025-09-11,Cerveza Poker Sixpack,Bebidas,3,11666.79
2025-09-12,Papas Margarita 30g,Snacks,7,2525.94
2025-09-12,Gaseosa Colombiana 350ml,Bebidas,8,2833.86
2025-09-12,Gaseosa Postobon Manzana 400ml,Bebidas,5,2634.56
2025-09-12,Arroz Diana 1kg,Granos,5,4365.27
2025-09-12,Frijol Cargamanto 500g,Granos,2,5509.72
2025-09-12,Aceite Premier 1L,Despensa,1,17079.36
